1	2	3	4
1	2	4	5
1	2	5	6
1	2	6	7
1	3	5	7
1	3	7	9
1	3	9	11
1	3	11	13
1	4	7	10
1	4	10	13
1	4	13	16
1	4	16	19
1	5	9	13
1	5	13	17
1	5	17	21
1	5	21	25
1	6	11	16
1	6	16	21
1	6	21	26
1	6	26	31
1	7	13	19
1	7	19	25
1	7	25	31
1	8	15	22
1	8	22	29
1	9	17	25
1	10	19	28
1	11	21	31
2	3	4	5
2	3	5	6
2	3	6	7
2	3	7	8
2	4	6	8
2	4	8	10
2	4	10	12
2	4	12	14
2	5	8	11
2	5	11	14
2	5	14	17
2	5	17	20
2	6	10	14
2	6	14	18
2	6	18	22
2	6	22	26
2	7	12	17
2	7	17	22
2	7	22	27
2	7	27	32
2	8	14	20
2	8	20	26
2	8	26	32
2	9	16	23
2	9	23	30
2	10	18	26
2	11	20	29
2	12	22	32
3	4	5	6
3	4	6	7
3	4	7	8
3	4	8	9
3	5	7	9
3	5	9	11
3	5	11	13
3	5	13	15
3	6	9	12
3	6	12	15
3	6	15	18
3	6	18	21
3	7	11	15
3	7	15	19
3	7	19	23
3	7	23	27
3	8	13	18
3	8	18	23
3	8	23	28
3	9	15	21
3	9	21	27
3	10	17	24
3	10	24	31
3	11	19	27
3	12	21	30
4	5	6	7
4	5	7	8
4	5	8	9
4	5	9	10
4	6	8	10
4	6	10	12
4	6	12	14
4	6	14	16
4	7	10	13
4	7	13	16
4	7	16	19
4	7	19	22
4	8	12	16
4	8	16	20
4	8	20	24
4	8	24	28
4	9	14	19
4	9	19	24
4	9	24	29
4	10	16	22
4	10	22	28
4	11	18	25
4	11	25	32
4	12	20	28
4	13	22	31
5	6	7	8
5	6	8	9
5	6	9	10
5	6	10	11
5	7	9	11
5	7	11	13
5	7	13	15
5	7	15	17
5	8	11	14
5	8	14	17
5	8	17	20
5	8	20	23
5	9	13	17
5	9	17	21
5	9	21	25
5	9	25	29
5	10	15	20
5	10	20	25
5	10	25	30
5	11	17	23
5	11	23	29
5	12	19	26
5	13	21	29
5	14	23	32
6	7	8	9
6	7	9	10
6	7	10	11
6	7	11	12
6	8	10	12
6	8	12	14
6	8	14	16
6	8	16	18
6	9	12	15
6	9	15	18
6	9	18	21
6	9	21	24
6	10	14	18
6	10	18	22
6	10	22	26
6	10	26	30
6	11	16	21
6	11	21	26
6	11	26	31
6	12	18	24
6	12	24	30
6	13	20	27
6	14	22	30
7	8	9	10
7	8	10	11
7	8	11	12
7	8	12	13
7	9	11	13
7	9	13	15
7	9	15	17
