64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
55	64	60	61	2.944430	0.862372
55	64	59	60	1.456950	1.569892
55	64	58	59	1.463810	1.563329
54	63	60	61	4.250110	0.649475
54	63	59	60	1.662900	1.396438
54	63	58	59	1.333760	1.699248
54	63	57	58	3.857280	0.698369
53	62	60	61	12.000100	0.339412
53	62	59	60	2.775350	0.904591
53	62	57	58	2.839960	0.887865
53	62	56	57	0.193289	10.726033
52	61	59	60	6.382210	0.489088
52	61	57	58	3.368640	0.775103
52	61	56	57	0.209830	9.893847
52	61	55	56	3.762550	0.711688
51	60	57	58	5.597490	0.533909
51	60	56	57	0.237155	8.773393
51	60	52	53	1.202280	1.866554
50	59	51	52	4.903590	0.585494
54	63	61	62	5.487060	0.541246
54	63	56	57	0.359930	5.838493
49	58	56	57	0.707949	3.051624
49	58	52	53	0.081909	25.081028
49	58	51	52	2.610420	0.951043
49	58	50	51	11.796400	0.342349
53	62	55	56	3.765540	0.711257
48	57	55	56	141.699000	0.183773
48	57	53	54	3.183380	0.810354
48	57	51	52	2.326640	1.046383
48	57	50	51	5.891280	0.515730
