X [m]	Y [m]	Z [m]	Xequi	Yequi	Zequi	Xchange	Ychange	Zchange
204468.562	93200.033	141.8	0	0	0	0	0	141.8
204469.81	93198.471	141.98	2	0	0	2	0	141.98
204471.059	93196.909	142.04	4	0	0	4	0	142.04
204472.308	93195.347	142.31	6	0	0	6	0	142.31
204473.557	93193.785	142.308	8	0	0	8	0	142.308
204474.806	93192.222	142.415	10	0	0	10	0	142.415
204476.055	93190.66	142.43	12	0	0	12	0	142.43
204477.304	93189.098	142.61	14	0	0	14	0	142.61
204478.552	93187.536	142.67	16	0	0	16	0	142.67
204479.801	93185.974	142.675	18	0	0	18	0	142.675
204481.05	93184.412	142.625	20	0	0	20	0	142.625
204482.299	93182.849	142.675	22	0	0	22	0	142.675
204483.548	93181.287	142.78	24	0	0	24	0	142.78
204484.797	93179.725	142.775	26	0	0	26	0	142.775
204486.045	93178.163	142.72	28	0	0	28	0	142.72
204487.294	93176.601	142.63	30	0	0	30	0	142.63
204488.543	93175.038	142.647	32	0	0	32	0	142.647
204489.792	93173.476	142.74	34	0	0	34	0	142.74
204491.041	93171.914	142.76	36	0	0	36	0	142.76
204492.29	93170.352	142.74	38	0	0	38	0	142.74
204493.539	93168.79	142.805	40	0	0	40	0	142.805
204494.787	93167.228	142.78	42	0	0	42	0	142.78
204496.036	93165.665	142.74	44	0	0	44	0	142.74
204497.285	93164.103	142.76	46	0	0	46	0	142.76
204498.534	93162.541	142.69	48	0	0	48	0	142.69
204499.783	93160.979	142.72	50	0	0	50	0	142.72
204501.032	93159.417	142.73	52	0	0	52	0	142.73
204502.28	93157.855	142.803	54	0	0	54	0	142.803
204503.529	93156.292	142.79	56	0	0	56	0	142.79
204504.778	93154.73	142.822	58	0	0	58	0	142.822
204506.027	93153.168	142.787	60	0	0	60	0	142.787
204507.276	93151.606	142.845	62	0	0	62	0	142.845
204508.525	93150.044	142.853	64	0	0	64	0	142.853
204509.773	93148.482	142.857	66	0	0	66	0	142.857
204511.022	93146.919	142.9	68	0	0	68	0	142.9
204512.271	93145.357	142.905	70	0	0	70	0	142.905
204513.52	93143.795	142.95	72	0	0	72	0	142.95
204514.769	93142.233	142.95	74	0	0	74	0	142.95
204516.018	93140.671	142.93	76	0	0	76	0	142.93
204517.267	93139.108	142.96	78	0	0	78	0	142.96
204518.515	93137.546	143.01	80	0	0	80	0	143.01
204519.764	93135.984	143.017	82	0	0	82	0	143.017
204521.013	93134.422	143.02	84	0	0	84	0	143.02
204522.262	93132.86	143.05	86	0	0	86	0	143.05
204523.511	93131.298	143.08	88	0	0	88	0	143.08
204524.76	93129.735	143.11	90	0	0	90	0	143.11
204526.008	93128.173	143.11	92	0	0	92	0	143.11
204527.257	93126.611	143.18	94	0	0	94	0	143.18
204528.506	93125.049	143.175	96	0	0	96	0	143.175
204529.755	93123.487	143.185	98	0	0	98	0	143.185
204531.004	93121.925	143.2	100	0	0	100	0	143.2
204532.253	93120.362	143.285	102	0	0	102	0	143.285
204533.502	93118.8	143.23	104	0	0	104	0	143.23
204534.75	93117.238	142.915	106	0	0	106	0	142.915
204535.999	93115.676	142.255	108	0	0	108	0	142.255
204537.248	93114.114	142.156	110	0	0	110	0	142.156
204538.497	93112.552	142.184	112	0	0	112	0	142.184
204539.746	93110.989	142.23	114	0	0	114	0	142.23
204540.995	93109.427	142.08	116	0	0	116	0	142.08
204542.243	93107.865	142.235	118	0	0	118	0	142.235
204543.492	93106.303	142.023	120	0	0	120	0	142.023
204544.741	93104.741	141.913	122	0	0	122	0	141.913
204545.99	93103.178	142.035	124	0	0	124	0	142.035
204547.239	93101.616	141.975	126	0	0	126	0	141.975
